"Date","Discharge.m3s","Year"
2020-02-24,0.489880984405927,2020
2020-02-25,0.60031658204657,2020
2020-02-26,0.733405635613498,2020
2020-02-27,4.04930524682356,2020
2020-02-28,3.96435478709999,2020
2020-02-29,2.08694962720907,2020
2020-03-01,1.546098366969,2020
2020-03-02,1.14683120626821,2020
2020-03-03,1.03922729061835,2020
2020-03-04,1.35354399159557,2020
2020-03-05,1.19213811812078,2020
2020-03-06,1.03639560862757,2020
2020-03-07,0.891979827097498,2020
2020-03-08,0.775880865475284,2020
2020-03-09,0.747564045567427,2020
2020-03-10,0.773049183484498,2020
2020-03-11,0.778712547466069,2020
2020-03-12,0.676771995797784,2020
2020-03-13,1.070375792517,2020
2020-03-14,1.05621738256307,2020
2020-03-15,0.821187777327855,2020
2020-03-16,0.696593769733284,2020
2020-03-17,0.631465083945213,2020
2020-03-18,0.557841352184784,2020
2020-03-19,0.753227409548998,2020
2020-03-20,0.971266922839497,2020
2020-03-21,0.826851141309426,2020
2020-03-22,0.654118539871498,2020
2020-03-23,0.594653218064998,2020
2020-03-24,1.06188074654464,2020
2020-03-25,1.29407866978907,2020
2020-03-26,1.1694846621945,2020
2020-03-27,1.07603915649857,2020
2020-03-28,0.874989735152783,2020
2020-03-29,1.00241542473814,2020
2020-03-30,2.21154363480364,2020
2020-03-31,1.6848507845175,2020
2020-04-01,1.22611830201021,2020
2020-04-02,1.149662888259,2020
2020-04-03,2.74673153106214,2020
2020-04-04,2.39843464619549,2020
2020-04-05,1.59706864280314,2020
2020-04-06,1.2487717579365,2020
2020-04-07,1.0109104707105,2020
2020-04-08,0.852336279226498,2020
2020-04-09,1.39885090344814,2020
2020-04-10,2.08694962720907,2020
2020-04-11,1.39035585747578,2020
2020-04-12,1.0505540185815,2020
2020-04-13,1.87174179590935,2020
2020-04-14,3.22811746949571,2020
2020-04-15,1.86041506794621,2020
2020-04-16,1.3280588536785,2020
2020-04-17,1.06471242853543,2020
2020-04-18,0.996752060756569,2020
2020-04-19,0.928791692977712,2020
2020-04-20,0.812692731355498,2020
2020-04-21,0.804197685383141,2020
2020-04-22,0.940118420940855,2020
2020-04-23,0.736237317604284,2020
2020-04-24,0.654118539871498,2020
2020-04-25,0.62013835598207,2020
2020-04-26,0.597484900055784,2020
2020-04-27,0.993920378765783,2020
2020-04-28,1.02506888066443,2020
2020-04-29,0.764554137512141,2020
2020-04-30,0.676771995797784,2020
2020-05-01,1.95386057364214,2020
2020-05-02,1.6452072366465,2020
2020-05-03,1.13267279631428,2020
2020-05-04,0.880653099134355,2020
2020-05-05,0.722078907650355,2020
2020-05-06,0.62013835598207,2020
2020-05-07,0.569168080147927,2020
2020-05-08,0.504039394359856,2020
2020-05-09,0.60031658204657,2020
2020-05-10,0.557841352184784,2020
2020-05-11,0.52102948630457,2020
2020-05-12,0.685267041770141,2020
2020-05-13,0.489880984405927,2020
2020-05-14,0.430415662599427,2020
2020-05-15,0.444574072553356,2020
2020-05-16,0.764554137512141,2020
2020-05-17,0.484217620424356,2020
2020-05-18,0.424752298617856,2020
2020-05-19,0.376613704774499,2020
2020-05-20,0.325643428940356,2020
2020-05-21,0.288831563060142,2020
2020-05-22,0.272124639314506,2020
2020-05-23,0.243807819406649,2020
2020-05-24,0.214924663100635,2020
2020-05-25,0.216340504096028,2020
2020-05-26,0.209261299119064,2020
