"Date","Discharge.cfs","Site","Discharge.m3s","Discharge.ls","Date2"
2016-02-02,31.6,"SMD",0.894811509088283,894.811509088283,"20160202"
2016-02-03,29,"SMD",0.821187777327855,821.187777327855,"20160203"
2016-02-04,36.6,"SMD",1.03639560862757,1036.39560862757,"20160204"
2016-02-05,45.7,"SMD",1.29407866978907,1294.07866978907,"20160205"
2016-02-06,51.9,"SMD",1.46964295321778,1469.64295321778,"20160206"
2016-02-07,49.3,"SMD",1.39601922145735,1396.01922145735,"20160207"
2016-02-08,47.3,"SMD",1.33938558164164,1339.38558164164,"20160208"
2016-02-09,38.1,"SMD",1.07887083848935,1078.87083848935,"20160209"
2016-02-10,37.7,"SMD",1.06754411052621,1067.54411052621,"20160210"
2016-02-11,32.5,"SMD",0.920296647005355,920.296647005355,"20160211"
2016-02-12,24.6,"SMD",0.696593769733284,696.593769733284,"20160212"
2016-02-13,21,"SMD",0.594653218064998,594.653218064998,"20160213"
2016-02-14,19.6,"SMD",0.555009670193998,555.009670193999,"20160214"
2016-02-15,28.4,"SMD",0.804197685383141,804.197685383141,"20160215"
2016-02-16,39,"SMD",1.10435597640643,1104.35597640643,"20160216"
2016-02-17,107,"SMD",3.02989973014071,3029.89973014071,"20160217"
2016-02-18,116,"SMD",3.28475110931142,3284.75110931142,"20160218"
2016-02-19,107,"SMD",3.02989973014071,3029.89973014071,"20160219"
2016-02-20,116,"SMD",3.28475110931142,3284.75110931142,"20160220"
2016-02-21,133,"SMD",3.76613704774499,3766.13704774499,"20160221"
2016-02-22,135,"SMD",3.8227706875607,3822.7706875607,"20160222"
2016-02-23,122,"SMD",3.45465202875856,3454.65202875856,"20160223"
2016-02-24,117,"SMD",3.31306792921928,3313.06792921928,"20160224"
2016-02-25,167,"SMD",4.72890892461213,4728.90892461213,"20160225"
2016-02-26,183,"SMD",5.18197804313784,5181.97804313784,"20160226"
2016-02-27,163,"SMD",4.6156416449807,4615.6416449807,"20160227"
2016-02-28,159,"SMD",4.50237436534927,4502.37436534927,"20160228"
2016-02-29,144,"SMD",4.07762206673142,4077.62206673142,"20160229"
2016-03-01,125,"SMD",3.53960248848213,3539.60248848213,"20160301"
2016-03-02,126,"SMD",3.56791930838999,3567.91930838999,"20160302"
2016-03-03,132,"SMD",3.73782022783713,3737.82022783713,"20160303"
2016-03-04,114,"SMD",3.22811746949571,3228.11746949571,"20160304"
2016-03-05,101,"SMD",2.85999881069356,2859.99881069356,"20160305"
2016-03-06,92,"SMD",2.60514743152285,2605.14743152285,"20160306"
2016-03-07,76.2,"SMD",2.15774167697871,2157.74167697871,"20160307"
2016-03-08,55.9,"SMD",1.58291023284921,1582.91023284921,"20160308"
2016-03-09,49.4,"SMD",1.39885090344814,1398.85090344814,"20160309"
2016-03-10,47.2,"SMD",1.33655389965085,1336.55389965085,"20160310"
2016-03-11,71.2,"SMD",2.01615757743942,2016.15757743942,"20160311"
2016-03-12,73.1,"SMD",2.06995953526435,2069.95953526435,"20160312"
2016-03-13,64.3,"SMD",1.82077152007521,1820.77152007521,"20160313"
2016-03-14,57,"SMD",1.61405873474785,1614.05873474785,"20160314"
2016-03-15,87.5,"SMD",2.47772174193749,2477.72174193749,"20160315"
2016-03-16,143,"SMD",4.04930524682356,4049.30524682356,"20160316"
2016-03-17,148,"SMD",4.19088934636285,4190.88934636285,"20160317"
2016-03-18,165,"SMD",4.67227528479642,4672.27528479642,"20160318"
2016-03-19,154,"SMD",4.36079026580999,4360.79026580999,"20160319"
2016-03-20,135,"SMD",3.8227706875607,3822.7706875607,"20160320"
2016-03-21,124,"SMD",3.51128566857428,3511.28566857428,"20160321"
2016-03-22,123,"SMD",3.48296884866642,3482.96884866642,"20160322"
2016-03-23,121,"SMD",3.42633520885071,3426.3352088507,"20160323"
2016-03-24,121,"SMD",3.42633520885071,3426.3352088507,"20160324"
2016-03-25,115,"SMD",3.25643428940356,3256.43428940356,"20160325"
2016-03-26,109,"SMD",3.08653336995642,3086.53336995642,"20160326"
2016-03-27,99.3,"SMD",2.81186021685021,2811.86021685021,"20160327"
2016-03-28,102,"SMD",2.88831563060142,2888.31563060142,"20160328"
2016-03-29,130,"SMD",3.68118658802142,3681.18658802142,"20160329"
2016-03-30,123,"SMD",3.48296884866642,3482.96884866642,"20160330"
2016-03-31,113,"SMD",3.19980064958785,3199.80064958785,"20160331"
2016-04-01,107,"SMD",3.02989973014071,3029.89973014071,"20160401"
2016-04-02,99.7,"SMD",2.82318694481335,2823.18694481335,"20160402"
2016-04-03,99.6,"SMD",2.82035526282256,2820.35526282256,"20160403"
2016-04-04,98.5,"SMD",2.78920676092392,2789.20676092392,"20160404"
2016-04-05,94.5,"SMD",2.67593948129249,2675.93948129249,"20160405"
2016-04-06,94.4,"SMD",2.67310779930171,2673.10779930171,"20160406"
2016-04-07,109,"SMD",3.08653336995642,3086.53336995642,"20160407"
2016-04-08,207,"SMD",5.86158172092641,5861.58172092641,"20160408"
2016-04-09,192,"SMD",5.43682942230856,5436.82942230856,"20160409"
2016-04-10,179,"SMD",5.06871076350641,5068.71076350641,"20160410"
