Sample,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper
SMD_SIDE,6/24/18,4.178715947,0.564332827,7.648879663,2.453994424,-3.23031426,8.551887245,1.130445857,0.726061863,1.556428354
SMD_SIDE,6/25/18,5.070598002,1.742948479,8.584979939,-5.713853705,-11.78762233,0.040551635,0.325130082,0.138758135,0.519183458
SMD_SIDE,6/26/18,5.422204315,2.933687412,7.960197605,-2.816890175,-8.418662631,2.276349949,0.309241159,0.144099173,0.511237941
SMD_SIDE,6/27/18,-0.38894262,-3.743594857,2.98714257,3.83232654,-2.614168409,9.641132725,0.351008446,0.135454579,0.566207276
SMD_SIDE,6/28/18,9.884022132,7.051378175,12.75617713,-8.200048316,-13.75141058,-2.62583354,0.262194231,0.109135612,0.471754128
SMD_SIDE,6/29/18,4.23198491,1.545430558,6.98886571,-5.628809623,-11.45638561,0.195053968,0.213984157,0.065235045,0.403312535
SMD_SIDE,6/30/18,4.529130645,0.856444694,8.389766295,-4.25801534,-10.3333401,1.62449389,0.231669954,0.087863291,0.443993575
SMD_SIDE,7/1/18,8.581329263,4.389359882,12.86986517,-8.936510098,-14.91628377,-2.592083169,0.261810165,0.112786798,0.453802165
SMD_SIDE,7/2/18,5.881380074,2.02563403,9.95453248,-4.586113752,-10.47792738,0.85132832,0.293799617,0.125346846,0.513894719
SMD_SIDE,7/3/18,1.789050244,-1.166952712,4.879991546,-1.869379293,-7.386996835,3.519013841,0.323523495,0.122067106,0.532543761
SMD_SIDE,7/4/18,1.269251907,-1.348610716,3.719236818,-2.66015652,-7.975129197,2.427693776,0.380144933,0.144705811,0.620223117
SMD_SIDE,7/5/18,1.292313232,-1.636651602,4.177642014,-1.874620008,-7.395875744,3.964834772,0.46084447,0.181415565,0.718063869
SMD_SIDE,7/6/18,4.195351971,-0.00390666,8.294333936,-4.198808766,-10.58096943,1.741602831,0.435689807,0.137780773,0.702192908
SMD_SIDE,7/7/18,-0.326924709,-2.982316911,2.29570536,-0.460851882,-5.822187825,5.238622133,0.413834753,0.134399088,0.682672019
SMD_SIDE,7/8/18,0.182708531,-2.685539619,2.788841175,-0.339287543,-5.821586209,4.712393013,0.561784286,0.253291851,0.825270606
SMD_SIDE,7/9/18,1.569283002,-1.021417562,4.49544892,-1.689949959,-7.099620177,3.712027366,0.694009299,0.361221457,0.982026536
SMD_SIDE,7/10/18,2.866327934,0.117313812,5.546446235,-2.683572182,-8.190867845,2.497924748,0.810862572,0.459328297,1.161873598
SMD_SIDE,7/12/18,10.90222103,7.296456606,14.50105617,-6.401778088,-12.28042607,-0.201243698,1.058859577,0.695220528,1.489819045
